states 12
s0
s1
s2
s3
s4
s5
s6
s7
s8
s9
s10
s11 +
alphabet 3 0 1 2
s0 0 s1 _ R
s0 1 s2 _ R
s0 2 s3 _ R
s0 _ s11 _ S
s1 0 s4 0 R
s1 1 s4 1 R
s1 2 s4 2 R
s1 0 s1 0 R
s1 1 s1 1 R
s1 2 s1 2 R
s1 _ s11 _ S
s2 0 s5 0 R
s2 1 s5 1 R
s2 2 s5 2 R
s2 0 s2 0 R
s2 1 s2 1 R
s2 2 s2 2 R
s2 _ s11 _ S
s3 0 s6 0 R
s3 1 s6 1 R
s3 2 s6 2 R
s3 0 s3 0 R
s3 1 s3 1 R
s3 2 s3 2 R
s3 _ s11 _ S
s4 _ s7 _ L
s5 _ s8 _ L
s6 _ s9 _ L
s7 0 s10 _ L
s8 1 s10 _ L
s9 2 s10 _ L
s10 0 s10 0 L
s10 1 s10 1 L
s10 2 s10 2 L
s10 _ s0 _ R
